TE A1 Corn Oil 10 ml/kg 48hrs	TE A3 Corn Oil 10ml/kg 48hrs	TE B1 TCDD 10ug/kg 48hrs	TE B2 TCDD 10ug/kg 48hrs	TE A2 Corn Oil 10 ml/kg 48hrs    	TE B3 TCDD 10ug/kg 48hrs
34079_EG629591	-0.068037338786869	0.0529320601917231	-0.969900342841265	-0.536158193285692	-0.0303115363499697	-1.31881107337604
39926_EG546150	0	0	0.890348053883553	0.526767555008053	0	1.21834054739643
38254_EG280121	-0.229107381069707	-0.207224759620405	-1.0395669292349	-0.838104689014509	-0.154859974957565	-0.643991019142136
3771_Cyp1b1	-0.545303421799973	-1.26357477653019	-4.16964662352478	-4.03372926449299	-0.208919144490175	-1.40062706531955
24239_2310079N02Rik	-0.130190791431119	-0.038204401706325	-0.561377432927426	-0.822488944843795	-0.145711909317376	-0.828843486343158
33071_Psmb2	-0.324737718061551	-0.228511941304296	-0.987694918056884	-0.926454361084023	-0.161792264596666	-0.691767644751412
19692_EG434402	-0.0721575237779503	0.183267498736509	-0.811526356571749	-0.790264706263836	-0.394763523940146	-1.29617736611052
898_Cyp1a2	-1.28898633787021	-1.40874989538706	-2.58877534041451	-2.39408574521078	-0.963778468189089	-3.37891880427551
16330_Scnn1a	-0.0917994323092186	-0.227809282290088	-0.580486277836094	-0.954977862474843	0.00623454853015686	-1.34418024724576
26904_NAP071025-1	-0.572405146271001	0.102229126343778	1.41774869796162	1.14220675564771	0.0532784149786274	0.754225463144324
38945_NAP027099-1	0.0456433550407283	-0.0642088994067402	-1.01598703885107	-0.989891069634874	-0.115371978574411	-0.490984653120681
6782_AK080833	0	0	0.727176426446037	0.895941809071589	0	0.524275022334207
2181_2210012G02Rik	-0.193939288446083	-0.116328235937951	-0.763695226427256	-0.595202486731585	-0.0342389107014602	-1.08249849680674
41111_Kcnn2	0.247476726681938	-0.352593205424213	-0.970430127920152	-1.05447983912648	-0.484440763713066	-0.99947379475048
24635_Tmem41b	0.274279904458967	0.0872146250811024	-0.599966576758019	-0.887751308006864	-0.0191470246022717	-0.83038478690019
28509_Wbscr18	-0.389525185160909	-0.415028707436376	-0.979902691588468	-0.973414973659587	-0.311024058361646	-1.06627630542934
10388_NAP070792-1	-0.131651927850531	0.0840308197334459	-0.79575863020438	-0.584020185803151	-0.166482197162641	-1.14598697860353
22061_Zfp768	0.208429067414385	0.258832305193176	1.12326738454808	0.648240884997458	0.276637860178411	0.972768219838359
12020_Rps21	-0.0615525361820847	0.0294634032347403	-1.14381506049099	-0.513392819406972	0.0908697661163772	-1.47400728628816
42804_Afp	-0.145059895721298	-0.393881757990495	-1.83954501171412	-1.94285316155947	-1.28129321348607	-1.49562166058215
43130_Wdr4	0.191037679461658	-0.114332294873425	-0.685768852185851	-0.665886797286974	-0.17637047624737	-0.899336789355019
45176_6030458C11Rik	0.00249197163075187	-0.0337190803448379	-0.577369861487183	-0.799138418978438	-0.261386234971184	-0.877317534810701
20579_1500041N16Rik	-0.158002836578093	-0.136897255169216	-0.865715594969801	-0.745784707616306	-0.423955600233463	-0.983470965898245
20949_LOC432594	-0.311135604089592	-0.150009707306398	-1.16342913578265	-0.612584742903295	-0.109179281644366	-0.891196809833725
39593_Bola1	-0.309674135278055	-0.110994862576075	-0.928758302584837	-0.865490861551289	-0.369144666646574	-0.794323839631276
45034_Clcnka	0.302473631603267	-0.0661933690895116	-3.02756663962923	-2.93581001903374	-0.461527625489793	-0.811076239301205
19729_Ehhadh	-0.201176586560494	-0.207177183231984	1.02958019687167	0.640886223562086	0.142690413775067	0.742980091092501
11077_Afp	0.0891936368027947	-0.168565489655194	-1.66055792944295	-1.59558649409857	-1.15919989013159	-1.3357494678
1724_TC1707343	0.0285226445459746	0.190965047928871	0.795598462776899	0.640740568641873	0.0880638122839795	0.634764537263233
33958_Nola2	-0.0826202385085968	0.218917427961433	-0.923903546842717	-0.716710579701925	-0.176686761937737	-0.625039478158931
1123_Kcnn2	0.320447569376696	-0.186441811109907	-0.882010747182723	-0.989005610365568	-0.297490682323772	-0.716251070676272
30956_Axin2	-0.320756347310253	-0.164163291471997	-1.54111212863267	-1.64688885905372	-0.442157427223874	-0.647535841303948
13476_Afp	-0.0685970701838295	-0.222697344336511	-1.78818937930978	-1.70380121844239	-1.18349409903217	-1.27937792395245
19175_Cdkl2	0.363447699152629	0.200290242263104	-1.39371859297475	-1.71398414055698	-0.572716978318811	-0.769767527946472
